지점,지점명,일시,평균기온(°C)
119,수원,2003-01,-4
119,수원,2003-02,.7
119,수원,2003-03,5.3
119,수원,2003-04,12.4
119,수원,2003-05,18.8
119,수원,2003-06,21.3
119,수원,2003-07,23.8
119,수원,2003-08,24.2
119,수원,2003-09,21
119,수원,2003-10,13.6
119,수원,2003-11,9.3
119,수원,2003-12,.6
119,수원,2004-01,-2.2
119,수원,2004-02,1.9
119,수원,2004-03,5.7
119,수원,2004-04,12.2
119,수원,2004-05,17
119,수원,2004-06,22.6
119,수원,2004-07,24.8
119,수원,2004-08,26.1
119,수원,2004-09,21.3
119,수원,2004-10,14.4
119,수원,2004-11,8.4
119,수원,2004-12,1.8
